time,1,2,3,4,,,,,
0.001289527,0.000191751,-0.000191751,-0.000191751,-0.000191751,,,,,
0.008464336,-0.000191751,-0.000191751,-0.000191751,0.000191751,,,,,
0.014973164,-0.000191751,-0.000191751,-0.000191751,-0.000575252,,,,,
0.021853765,0.000191751,-0.000191751,-0.000191751,-0.000191751,,,,,
0.028458595,-0.000191751,-0.000575252,-0.000191751,-0.000191751,,,,,
0.035655499,0.000191751,-0.000575252,-0.000191751,0.000191751,,,,,
0.04218928,0.000191751,-0.000575252,-0.000191751,-0.000191751,,,,,
0.048699379,0.000575252,-0.000575252,-0.000191751,0.000191751,,,,,
0.055820624,0.000575252,-0.000191751,-0.000575252,0.000191751,,,,,
0.063541571,0.000575252,-0.000191751,-0.000958753,-0.000191751,,,,,
0.071348985,0.000575252,-0.000958753,-0.000958753,0.000191751,,,,,
0.079160372,0.001342254,-0.000958753,-0.000958753,0.000191751,,,,,
0.086326599,0.002109256,-0.000191751,-0.000958753,-0.000191751,,,,,
0.093818665,0.001725755,-0.000191751,-0.000958753,-0.000191751,,,,,
0.101052125,0.001725755,-0.000575252,-0.000958753,-0.000191751,,,,,
0.108340899,0.002109256,-0.000191751,-0.001342254,0.000191751,,,,,
0.114988009,0.002876258,-0.000575252,-0.000958753,-0.000191751,,,,,
0.122400443,0.004026761,-0.000958753,-0.000958753,0.000191751,,,,,
0.129748821,0.005177264,-0.000958753,-0.000958753,-0.000191751,,,,,
0.13626798,0.005944266,-0.000958753,-0.000958753,-0.000191751,,,,,
0.143430074,0.006327767,-0.000958753,-0.000958753,0.000191751,,,,,
0.150578817,0.005944266,-0.000958753,-0.000958753,-0.000191751,,,,,
0.158103307,0.005944266,-0.000575252,-0.000575252,-0.000191751,,,,,
0.164632797,0.005944266,-0.000575252,-0.000958753,0.000191751,,,,,
0.170547962,0.005944266,-0.000575252,-0.000575252,-0.000191751,,,,,
0.177717527,0.006327767,-0.000575252,-0.000958753,-0.000191751,,,,,
0.184530099,0.006327767,-0.000575252,-0.000958753,0.000191751,,,,,
0.191096306,0.006327767,-0.000575252,-0.000958753,-0.000191751,,,,,
0.197734197,0.006327767,-0.000575252,-0.000958753,-0.000191751,,,,,
0.204883416,0.006327767,-0.000575252,-0.000958753,0.000191751,,,,,
0.2114048,0.006711268,-0.000575252,-0.000958753,0.000191751,,,,,
